Time,EcgWaveform
27/09/2019 11:11:43.068,297
27/09/2019 11:11:43.072,297
27/09/2019 11:11:43.076,297
27/09/2019 11:11:43.080,297
27/09/2019 11:11:43.084,297
27/09/2019 11:11:43.088,297
27/09/2019 11:11:43.092,297
27/09/2019 11:11:43.096,297
27/09/2019 11:11:43.100,297
27/09/2019 11:11:43.104,297
27/09/2019 11:11:43.108,297
27/09/2019 11:11:43.112,297
27/09/2019 11:11:43.116,297
27/09/2019 11:11:43.120,297
27/09/2019 11:11:43.124,297
27/09/2019 11:11:43.128,297
27/09/2019 11:11:43.132,297
27/09/2019 11:11:43.136,297
27/09/2019 11:11:43.140,297
27/09/2019 11:11:43.144,297
27/09/2019 11:11:43.148,297
27/09/2019 11:11:43.152,297
27/09/2019 11:11:43.156,297
27/09/2019 11:11:43.160,297
27/09/2019 11:11:43.164,297
27/09/2019 11:11:43.168,297
27/09/2019 11:11:43.172,297
27/09/2019 11:11:43.176,297
27/09/2019 11:11:43.180,297
27/09/2019 11:11:43.184,297
27/09/2019 11:11:43.188,297
27/09/2019 11:11:43.192,297
27/09/2019 11:11:43.196,297
27/09/2019 11:11:43.200,297
27/09/2019 11:11:43.204,297
27/09/2019 11:11:43.208,297
27/09/2019 11:11:43.212,297
27/09/2019 11:11:43.216,297
27/09/2019 11:11:43.220,297
27/09/2019 11:11:43.224,297
27/09/2019 11:11:43.228,297
27/09/2019 11:11:43.232,297
27/09/2019 11:11:43.236,297
27/09/2019 11:11:43.240,297
27/09/2019 11:11:43.244,297
27/09/2019 11:11:43.248,297
27/09/2019 11:11:43.252,297
27/09/2019 11:11:43.256,297
27/09/2019 11:11:43.260,297
27/09/2019 11:11:43.264,297
27/09/2019 11:11:43.268,297
27/09/2019 11:11:43.272,297
27/09/2019 11:11:43.276,297
27/09/2019 11:11:43.280,297
27/09/2019 11:11:43.284,297
27/09/2019 11:11:43.288,297
27/09/2019 11:11:43.292,297
27/09/2019 11:11:43.296,297
27/09/2019 11:11:43.300,297
27/09/2019 11:11:43.304,297
27/09/2019 11:11:43.308,297
27/09/2019 11:11:43.312,297
27/09/2019 11:11:43.316,297
27/09/2019 11:11:43.320,297
27/09/2019 11:11:43.324,297
27/09/2019 11:11:43.328,297
27/09/2019 11:11:43.332,297
27/09/2019 11:11:43.336,297
27/09/2019 11:11:43.340,297
27/09/2019 11:11:43.344,297
27/09/2019 11:11:43.348,297
27/09/2019 11:11:43.352,297
27/09/2019 11:11:43.356,297
27/09/2019 11:11:43.360,297
27/09/2019 11:11:43.364,297
27/09/2019 11:11:43.368,297
27/09/2019 11:11:43.372,297
27/09/2019 11:11:43.376,297
27/09/2019 11:11:43.380,297
27/09/2019 11:11:43.384,297
27/09/2019 11:11:43.388,297
27/09/2019 11:11:43.392,297
27/09/2019 11:11:43.396,297
27/09/2019 11:11:43.400,297
27/09/2019 11:11:43.404,297
27/09/2019 11:11:43.408,297
27/09/2019 11:11:43.412,297
27/09/2019 11:11:43.416,297
27/09/2019 11:11:43.420,297
27/09/2019 11:11:43.424,297
27/09/2019 11:11:43.428,297
27/09/2019 11:11:43.432,297
27/09/2019 11:11:43.436,297
27/09/2019 11:11:43.440,297
27/09/2019 11:11:43.444,297
27/09/2019 11:11:43.448,297
