Time,Vertical,Lateral,Sagittal
27/09/2019 11:11:43.732,2015,2122,2038
27/09/2019 11:11:43.742,2014,2120,2037
27/09/2019 11:11:43.752,2015,2119,2037
27/09/2019 11:11:43.762,2016,2119,2037
27/09/2019 11:11:43.772,2015,2119,2038
27/09/2019 11:11:43.782,2016,2123,2038
27/09/2019 11:11:43.792,2015,2119,2038
27/09/2019 11:11:43.802,2015,2122,2037
27/09/2019 11:11:43.812,2015,2122,2037
27/09/2019 11:11:43.822,2014,2122,2037
27/09/2019 11:11:43.832,2014,2124,2039
27/09/2019 11:11:43.842,2013,2121,2037
27/09/2019 11:11:43.852,2013,2121,2037
27/09/2019 11:11:43.862,2013,2123,2036
27/09/2019 11:11:43.872,2014,2123,2037
27/09/2019 11:11:43.882,2014,2120,2040
27/09/2019 11:11:43.892,2014,2120,2040
27/09/2019 11:11:43.902,2014,2120,2038
27/09/2019 11:11:43.912,2015,2122,2038
27/09/2019 11:11:43.922,2014,2122,2039
27/09/2019 11:11:43.932,2014,2122,2039
27/09/2019 11:11:43.942,2014,2121,2036
27/09/2019 11:11:43.952,2014,2121,2039
27/09/2019 11:11:43.962,2014,2122,2040
27/09/2019 11:11:43.972,2015,2122,2039
27/09/2019 11:11:43.982,2016,2122,2040
27/09/2019 11:11:43.992,2015,2121,2039
27/09/2019 11:11:44.002,2015,2122,2039
27/09/2019 11:11:44.012,2016,2123,2038
27/09/2019 11:11:44.022,2015,2124,2039
27/09/2019 11:11:44.032,2015,2122,2038
27/09/2019 11:11:44.042,2015,2123,2037
27/09/2019 11:11:44.052,2015,2123,2040
27/09/2019 11:11:44.062,2015,2124,2039
27/09/2019 11:11:44.072,2015,2122,2038
27/09/2019 11:11:44.082,2015,2122,2036
27/09/2019 11:11:44.092,2015,2124,2034
27/09/2019 11:11:44.102,2014,2121,2037
27/09/2019 11:11:44.112,2014,2122,2039
27/09/2019 11:11:44.122,2014,2121,2038
27/09/2019 11:11:44.132,2014,2120,2037
27/09/2019 11:11:44.142,2015,2121,2036
27/09/2019 11:11:44.152,2014,2122,2037
27/09/2019 11:11:44.162,2013,2121,2037
27/09/2019 11:11:44.172,2013,2122,2036
27/09/2019 11:11:44.182,2014,2120,2038
27/09/2019 11:11:44.192,2014,2121,2038
27/09/2019 11:11:44.202,2014,2119,2038
27/09/2019 11:11:44.212,2012,2124,2036
27/09/2019 11:11:44.222,2013,2122,2037
27/09/2019 11:11:44.232,2014,2123,2038
27/09/2019 11:11:44.242,2014,2123,2036
27/09/2019 11:11:44.252,2014,2125,2037
27/09/2019 11:11:44.262,2014,2121,2036
27/09/2019 11:11:44.272,2015,2124,2035
27/09/2019 11:11:44.282,2015,2123,2039
27/09/2019 11:11:44.292,2015,2121,2037
27/09/2019 11:11:44.302,2015,2123,2037
27/09/2019 11:11:44.312,2014,2124,2037
27/09/2019 11:11:44.322,2014,2123,2037
27/09/2019 11:11:44.332,2014,2124,2038
27/09/2019 11:11:44.342,2014,2126,2037
27/09/2019 11:11:44.352,2014,2123,2037
27/09/2019 11:11:44.362,2014,2123,2037
27/09/2019 11:11:44.372,2014,2121,2038
27/09/2019 11:11:44.382,2014,2123,2036
27/09/2019 11:11:44.392,2014,2123,2036
27/09/2019 11:11:44.402,2014,2122,2035
27/09/2019 11:11:44.412,2015,2122,2036
27/09/2019 11:11:44.422,2015,2122,2037
27/09/2019 11:11:44.432,2015,2123,2038
27/09/2019 11:11:44.442,2016,2123,2039
27/09/2019 11:11:44.452,2014,2123,2037
27/09/2019 11:11:44.462,2014,2124,2038
27/09/2019 11:11:44.472,2014,2123,2037
27/09/2019 11:11:44.482,2014,2123,2038
27/09/2019 11:11:44.492,2015,2123,2037
27/09/2019 11:11:44.502,2015,2120,2037
27/09/2019 11:11:44.512,2014,2120,2037
27/09/2019 11:11:44.522,2015,2120,2038
27/09/2019 11:11:44.532,2016,2120,2039
27/09/2019 11:11:44.542,2016,2121,2037
27/09/2019 11:11:44.552,2014,2121,2039
