x,y
1.0,17729
2.0,13114
3.0,253
4.0,3176
5.0,10164
6.0,1338
7.0,441
8.0,190
9.0,91
10.0,314
11.0,830
12.0,856
13.0,27396
14.0,593
15.0,5249
16.0,821
17.0,640
18.0,1504
19.0,65
20.0,696
21.0,121
22.0,452
23.0,396
24.0,17
25.0,523
26.0,272
27.0,831
28.0,430
29.0,5137
30.0,868
31.0,1921
32.0,911
33.0,250
34.0,281
35.0,282
36.0,139
37.0,4278
38.0,2242
39.0,386
40.0,37
41.0,675
42.0,126
43.0,323
44.0,1279
45.0,151
46.0,257
47.0,406
48.0,192
49.0,337
50.0,482
51.0,124
52.0,545
53.0,316
54.0,130
55.0,298
56.0,212
57.0,182
58.0,425
59.0,84
60.0,579
61.0,236
62.0,177
63.0,433
64.0,33
65.0,580
66.0,326
67.0,142
68.0,156
69.0,344
70.0,1269
71.0,341
72.0,409
73.0,395
74.0,175
75.0,493
76.0,351
77.0,209
78.0,381
79.0,326
80.0,1097
81.0,101
82.0,235
83.0,186
84.0,361
85.0,184
86.0,200
87.0,456
88.0,1267
89.0,287
90.0,676
91.0,417
92.0,1670
93.0,13182
94.0,810
95.0,5273
96.0,1905
97.0,96
98.0,1152
99.0,4842
100.0,13632
101.0,828
102.0,402
103.0,216
104.0,378
105.0,3236
106.0,8600
107.0,4176
108.0,3112
109.0,913
110.0,914
111.0,976
112.0,83
113.0,223
114.0,333
115.0,333
116.0,154
117.0,390
118.0,231
119.0,176
120.0,846
121.0,438
122.0,6046
123.0,447
124.0,418
125.0,435
126.0,74
127.0,222
128.0,693
129.0,154
130.0,302
131.0,75
132.0,668
133.0,1681
134.0,160
135.0,1234
136.0,18448
137.0,1118
138.0,2228
139.0,940
140.0,71
141.0,3160
142.0,945
143.0,1186
144.0,1169
145.0,1030
146.0,910
147.0,1130
148.0,1212
149.0,6036
150.0,578
151.0,824
152.0,12196
153.0,205
154.0,1355
155.0,158
156.0,5872
157.0,2140
158.0,1196
159.0,490
160.0,1719
161.0,1368
162.0,183
163.0,872
164.0,371
165.0,236
166.0,1033
167.0,253
168.0,623
169.0,3406
170.0,243
171.0,1047
172.0,1252
173.0,1126
174.0,214
175.0,926
176.0,1215
177.0,1216
178.0,2461
179.0,1182
180.0,2389
181.0,1194
182.0,1189
183.0,981
184.0,1118
185.0,1233
186.0,1193
187.0,1061
188.0,992
189.0,1212
190.0,1207
191.0,1164
192.0,1210
193.0,1255
194.0,1250
195.0,1211
196.0,1175
197.0,1171
198.0,1163
199.0,1071
200.0,1118
201.0,1087
202.0,953
203.0,1143
204.0,1131
205.0,1013
206.0,900
207.0,1064
208.0,1074
209.0,1035
210.0,5058
211.0,1863
212.0,1224
213.0,1218
214.0,1207
215.0,1199
216.0,1133
217.0,1177
