Time,RtoR
,557
,553
,545
,550
,547
,547
,553
,556
,565
,567
,579
,584
,586
,595
,593
,591
,589
,583
,584
,582
,583
,578
,582
,583
,576
,579
,579
,573
,573
,566
,569
,575
,570
,575
,579
,581
,586
,590
,592
,596
,594
,591
,597
,584
,583
,581
,584
,575
,577
,578
,578
,569
,573
,573
,565
,567
,566
,558
,552
,552
,555
,547
,551
,547
,538
,538
,537
,539
,536
,543
,547
,545
,552
,556
,561
,561
,563
,554
,555
,561
,551
,554
,554
,561
,563
,562
,561
,551
,552
,556
,550
,554
,552
,552
,555
,555
,549
,550
,550
,554
,531
,549
,536
,538
,542
,544
,544
,553
,557
,565
,568
,567
,566
,566
,570
,573
,568
,566
,568
,566
,565
,567
,567
,560
,564
,571
,583
,589
,585
,581
,580
,576
,572
,558
,559
,572
,586
,569
,567
,558
,564
,561
,555
,556
,557
,553
,550
,551
,549
,548
,551
,550
,544
,546
,544
,547
,542
,546
,547
,541
,546
,553
,556
,555
,559
,556
,555
,554
,550
,546
,547
,542
,538
,542
,538
,542
,542
,537
,537
,540
,543
,542
,545
,538
,545
,547
,553
,567
,566
,581
,574
,583
,588
,572
,577
,562
,563
,560
,556
,562
,561
,565
,569
,563
,571
,571
,578
,575
,576
,575
,567
,566
,560
,564
,560
,548
,547
,550
,543
,547
,549
,543
,549
,551
,551
,556
,558
,557
,566
,561
,551
,554
,552
,543
,536
,538
,537
,535
,534
,539
,537
,537
,538
,541
,543
,546
,551
,550
,550
,548
,542
,546
,546
,548
,545
,551
,545
,547
,548
,546
,547
,548
,539
,542
,547
,554
,560
,560
,581
,589
,585
,586
,583
,581
,581
,567
,566
,565
,564
,566
,572
,568
,574
,565
,568
,565
,565
,565
,563
,560
,558
,567
,565
,566
,568
,564
,567
,561
,563
,562
,564
,564
,565
,557
,555
,545
,542
,542
,536
,545
,550
,551
,559
,563
,561
,563
,568
,559
,561
,559
,554
,561
,555
,550
,548
,532
,538
,537
,530
,535
,538
,539
,538
,541
,546
,547
,548
,549
,553
,558
,566
,575
,568
,568
,567
,560
,550
,547
,545
,533
,535
,541
,536
,539
,547
,541
,544
,547
,544
,548
,537
,541
,542
,537
,543
,543
,540
,542
,537
,542
,538
,539
,538
,544
,535
,536
,538
,534
,535
,541
,531
,531
,538
,533
,534
,532
,532
,536
,536
,540
,538
,538
,535
,537
,533
,534
,531
,536
,534
,535
,540
,530
,534
,531
,531
,535
,539
,536
,533
,538
,537
,534
,537
,526
,531
,531
,528
,527
,523
,529
,534
,529
,537
,533
,540
,541
,539
,541
,543
,545
,540
,549
,561
,552
,553
,558
,552
,552
,549
,546
,549
,547
,551
,545
,549
,548
,552
,546
,548
,550
,545
,550
,549
,532
,544
,540
,542
,540
,537
,537
,540
,535
,538
,538
,529
,526
,528
,518
,520
,524
,523
,531
,544
,568
,566
,576
,571
,577
,597
,623
,604
,593
,582
,559
,563
,553
,547
,552
,549
,552
,556
,560
,563
,569
,576
,582
,579
,586
,582
,575
,572
,562
,561
,564
,560
,561
,549
,556
,556
,550
,550
,539
,540
,530
,525
,520
,519
,505
,511
,518
,526
,555
,559
,543
,541
,541
,558
,570
,571
,577
,595
,610
,596
,592
,596
,588
,593
,597
,584
,586
,577
,581
,574
,573
,573
,563
,569
,567
,571
,584
,593
,602
,594
,584
,592
,579
,582
,579
,566
,568
,560
,550
,554
,548
,551
,556
,557
,563
,573
,575
,584
,592
,594
,599
,598
,594
,586
,589
,585
,593
,576
,571
,565
,564
,556
,559
,552
,554
,554
,540
,548
,548
,552
,561
,556
,560
,552
,556
,554
,560
,564
,557
,566
,571
,571
,569
,562
,563
,561
,550
,552
,559
,556
,555
,562
,558
,554
,560
,561
,556
,539
,549
,533
,541
,545
,564
,581
,577
,584
,577
,581
,582
,566
,564
,570
,556
,558
,551
,547
,545
,547
,542
,542
,544
,538
,545
,537
,544
,539
,536
,537
,534
,532
,530
,533
,536
,542
,541
,546
,553
,552
,556
,560
,561
,563
,558
,561
,556
,542
,542
,541
,530
,530
,530
,519
,524
,523
,519
,523
,523
,523
,526
,522
,528
,528
,521
,523
,525
,526
,524
,529
,526
,531
,531
,525
,524
,524
,528
,516
,516
,517
,521
,518
,525
,528
,529
,538
,540
,551
,558
,556
,563
,564
,549
,554
,555
,537
,542
,540
,532
,535
,532
,537
,537
,529
,534
,530
,531
,533
,523
,530
,530
,528
,531
,523
,525
,525
,514
,518
,520
,520
,526
,528
,523
,527
,531
,528
,530
,532
,536
,532
,535
,529
,534
,536
,533
,528
,531
,542
,556
,559
,560
,564
,556
,555
,552
,544
,543
,539
,526
,524
,521
,523
,518
,523
,518
,518
,520
,516
,512
,507
,509
,508
,513
,516
,523
,529
,528
,535
,536
,535
,536
,539
,539
,537
,541
,544
,546
,543
,547
,545
,541
,542
,537
,538
,538
,535
,539
,536
,537
,542
,534
,540
,542
,541
,539
,529
,535
,534
,525
,532
,530
,525
,530
,534
,538
,538
,543
,541
,544
,544
,542
,541
,545
,543
,547
,534
,542
,544
,539
,543
,542
,550
,556
,567
,563
,563
,569
,560
,564
,561
,560
,557
,559
,549
,549
,545
,536
,536
,537
,535
,525
,523
,525
,522
,524
,532
,534
,537
,536
,525
,532
,534
,536
,540
,540
,553
,557
,559
,567
,561
,563
,574
,571
,569
,601
,644
,626
,610
,633
,654
,633
,645
,690
,658
,660
,677
,649
,653
,650
,657
,641
,640
,640
,631
,664
,687
,703
,742
,766
,694
,699
,802
,861
,752
,857
,868
