Time,Vertical,Lateral,Sagittal
01/10/2019 14:23:08.771,2098,2081,2048
01/10/2019 14:23:08.781,2097,2080,2048
01/10/2019 14:23:08.791,2096,2081,2048
01/10/2019 14:23:08.801,2096,2079,2046
01/10/2019 14:23:08.811,2096,2080,2042
01/10/2019 14:23:08.821,2095,2082,2040
01/10/2019 14:23:08.831,2098,2084,2038
01/10/2019 14:23:08.841,2098,2085,2036
01/10/2019 14:23:08.851,2097,2084,2036
01/10/2019 14:23:08.861,2097,2084,2034
01/10/2019 14:23:08.871,2102,2086,2033
01/10/2019 14:23:08.881,2102,2091,2032
01/10/2019 14:23:08.891,2105,2095,2033
01/10/2019 14:23:08.901,2108,2101,2032
01/10/2019 14:23:08.911,2110,2102,2032
01/10/2019 14:23:08.921,2110,2101,2033
01/10/2019 14:23:08.931,2110,2100,2032
01/10/2019 14:23:08.941,2109,2101,2035
01/10/2019 14:23:08.951,2109,2103,2035
01/10/2019 14:23:08.961,2107,2101,2034
01/10/2019 14:23:08.971,2106,2105,2034
01/10/2019 14:23:08.981,2110,2105,2038
01/10/2019 14:23:08.991,2109,2108,2009
01/10/2019 14:23:09.001,2126,2112,2020
01/10/2019 14:23:09.011,2117,2121,2040
01/10/2019 14:23:09.021,2116,2110,2058
01/10/2019 14:23:09.031,2113,2110,2052
01/10/2019 14:23:09.041,2108,2107,2049
01/10/2019 14:23:09.051,2103,2102,2048
01/10/2019 14:23:09.061,2106,2102,2053
01/10/2019 14:23:09.071,2102,2110,2058
01/10/2019 14:23:09.081,2102,2104,2060
01/10/2019 14:23:09.091,2101,2104,2060
01/10/2019 14:23:09.101,2099,2100,2054
01/10/2019 14:23:09.111,2099,2097,2048
01/10/2019 14:23:09.121,2096,2095,2046
01/10/2019 14:23:09.131,2096,2095,2046
01/10/2019 14:23:09.141,2095,2092,2047
01/10/2019 14:23:09.151,2096,2090,2045
01/10/2019 14:23:09.161,2096,2092,2044
01/10/2019 14:23:09.171,2096,2092,2044
01/10/2019 14:23:09.181,2095,2100,2051
01/10/2019 14:23:09.191,2095,2104,2056
01/10/2019 14:23:09.201,2095,2110,2056
01/10/2019 14:23:09.211,2095,2111,2059
01/10/2019 14:23:09.221,2094,2108,2058
01/10/2019 14:23:09.231,2095,2105,2055
01/10/2019 14:23:09.241,2094,2106,2055
01/10/2019 14:23:09.251,2093,2112,2058
01/10/2019 14:23:09.261,2093,2115,2062
01/10/2019 14:23:09.271,2091,2117,2063
01/10/2019 14:23:09.281,2093,2116,2063
01/10/2019 14:23:09.291,2093,2120,2069
01/10/2019 14:23:09.301,2100,2125,2080
01/10/2019 14:23:09.311,2090,2141,2074
01/10/2019 14:23:09.321,2088,2142,2075
01/10/2019 14:23:09.331,2088,2136,2077
01/10/2019 14:23:09.341,2085,2132,2078
01/10/2019 14:23:09.351,2088,2131,2082
01/10/2019 14:23:09.361,2089,2130,2085
01/10/2019 14:23:09.371,2087,2128,2083
01/10/2019 14:23:09.381,2090,2118,2083
01/10/2019 14:23:09.391,2088,2117,2080
01/10/2019 14:23:09.401,2084,2114,2075
01/10/2019 14:23:09.411,2084,2112,2071
01/10/2019 14:23:09.421,2083,2114,2070
01/10/2019 14:23:09.431,2085,2114,2073
01/10/2019 14:23:09.441,2086,2118,2073
01/10/2019 14:23:09.451,2088,2118,2079
01/10/2019 14:23:09.461,2090,2116,2083
01/10/2019 14:23:09.471,2085,2116,2084
01/10/2019 14:23:09.481,2093,2115,2089
01/10/2019 14:23:09.491,2091,2116,2092
01/10/2019 14:23:09.501,2091,2122,2095
01/10/2019 14:23:09.511,2082,2122,2094
01/10/2019 14:23:09.521,2075,2117,2095
01/10/2019 14:23:09.531,2077,2109,2092
01/10/2019 14:23:09.541,2079,2109,2090
01/10/2019 14:23:09.551,2072,2108,2087
01/10/2019 14:23:09.561,2061,2111,2087
01/10/2019 14:23:09.571,2070,2112,2091
01/10/2019 14:23:09.581,2070,2122,2096
01/10/2019 14:23:09.591,2066,2132,2095
01/10/2019 14:23:09.601,2059,2139,2099
01/10/2019 14:23:09.611,2061,2138,2100
01/10/2019 14:23:09.621,2056,2141,2100
01/10/2019 14:23:09.631,2068,2138,2108
01/10/2019 14:23:09.641,2062,2127,2096
01/10/2019 14:23:09.651,2062,2120,2086
01/10/2019 14:23:09.661,2068,2122,2069
01/10/2019 14:23:09.671,2130,2092,2083
01/10/2019 14:23:09.681,2102,2078,2045
01/10/2019 14:23:09.691,2099,2090,2053
01/10/2019 14:23:09.701,2097,2107,2058
01/10/2019 14:23:09.711,2078,2128,2062
01/10/2019 14:23:09.721,2064,2127,2057
01/10/2019 14:23:09.731,2078,2128,2062
01/10/2019 14:23:09.741,2070,2135,2064
01/10/2019 14:23:09.751,2075,2143,2052
01/10/2019 14:23:09.761,2069,2121,2056
