Time,BtoB
,6000
,5760
,1440
,4340
,2080
,3020
,4790
,2560
,6600
,2810
,2760
,2710
,6450
,6170
,1580
,1580
,1550
,4140
,1420
,2200
,1830
,1920
,3570
,2180
,2450
,1490
,6610
,4820
,2530
,4290
,3080
,2920
,4110
,3540
,4390
,2330
,2950
,4290
,2850
,2700
,2390
,2640
,3290
,2230
,3240
,1760
,3450
,2140
,3940
,2180
,4540
,2360
,1780
,6600
,1510
,2450
,3910
,3100
,1230
,2700
,7640
,2660
,2770
,3320
,2070
,4100
,3680
,3630
,2700
,3000
,2930
,2020
,3370
,1950
,2580
,2570
,2770
,2760
,2210
,2660
,2490
,2850
,2710
,3470
,1840
,2500
,2720
,2250
,2790
,4570
,2160
,1960
,2950
,3310
,3470
,2530
,2580
,2350
,2430
,2460
,2850
,3760
,3160
,3360
,3000
,2730
,1790
,2310
,3530
,1680
,4300
,2910
,2650
,5490
,3940
,2390
,2520
,2460
,2830
,1800
,2980
,2490
,2650
,3480
,2530
,3010
,3120
,1810
,4430
,3110
,2760
,1490
,2180
,2400
,2910
,3320
,3340
,2590
,3140
,1920
,4160
,2920
,1780
,2430
,6290
,6650
,3570
,1820
,3740
,2300
,4180
,1560
,5730
,2400
,2150
,3140
,2400
,3600
,1430
,2540
,1580
,3620
,3360
,2140
,1340
,3630
,2480
,4740
,1950
,8280
,4060
,1790
,1870
,3010
,3160
,3700
,3060
,3030
,2950
,5410
,3560
,2230
,1780
,3420
,1850
,4940
,2120
,4060
,1600
,2130
,1560
,2020
,2150
,1680
,2310
,1510
,2000
,1890
,2140
,3330
,1600
,2140
,2040
,1820
,1500
,1620
,2290
,1880
,1850
,1620
,1820
,1740
,2120
,1470
,1820
,2090
,1190
,1840
,2010
,1970
,1580
,1680
,1870
,1910
,1890
,1250
,2250
,2290
,1590
,1880
,2060
,1870
,3710
,1900
,2330
,2090
,2130
,1350
,2060
,2390
,2040
,3270
,2160
,2140
,3540
,1820
,1980
,2180
,2490
,1270
,1870
,1390
,2050
,1670
,1580
,4440
,1800
,1990
,1500
,1780
,1910
,1680
,940
,1920
,1730
,1490
,1940
,2010
,1660
,1980
,2850
,4050
