Time,RtoR
,455
,442
,443
,447
,445
,447
,440
,433
,438
,444
,443
,437
,431
,435
,442
,440
,439
,431
,429
,441
,440
,447
,438
,433
,443
,448
,450
,450
,440
,444
,446
,450
,449
,444
,439
,443
,444
,448
,434
,438
,440
,444
,443
,432
,439
,445
,444
,440
,435
,444
,445
,449
,441
,436
,439
,443
,442
,438
,431
,434
,439
,440
,437
,433
,427
,436
,434
,438
,437
,431
,429
,440
,441
,441
,434
,431
,433
,438
,438
,437
,434
,429
,435
,441
,441
,437
,434
,431
,437
,440
,440
,433
,428
,433
,437
,439
,434
,430
,435
,438
,439
,443
,432
,435
,440
,443
,447
,444
,438
,445
,446
,454
,446
,441
,446
,443
,447
,446
,441
,438
,440
,446
,443
,443
,436
,436
,441
,441
,443
,445
,439
,434
,438
,443
,445
,448
,438
,439
,442
,447
,446
,443
,437
,437
,439
,447
,448
,451
,441
,443
,447
,453
,454
,451
,447
,446
,450
,452
,453
,454
,449
,444
,443
,446
,449
,450
,439
,438
,436
,435
,441
,456
,465
,463
,456
,457
,450
,439
,435
,441
,443
,444
,442
,435
,432
,442
,443
,441
,440
,431
,433
,438
,439
,439
,442
,432
,433
,439
,440
,443
,444
,439
,434
,442
,444
,445
,437
,433
,444
,440
,440
,441
,432
,431
,439
,444
,440
,436
,432
,433
,438
,437
,439
,443
,433
,431
,439
,439
,438
,432
,433
,438
,438
,443
,441
,436
,431
,437
,438
,444
,443
,438
,436
,439
,441
,444
,436
,435
,439
,444
,444
,437
,434
,442
,444
,450
,447
,438
,439
,440
,444
,445
,443
,443
,434
,440
,440
,443
,443
,441
,433
,438
,440
,441
,436
,432
,435
,436
,437
,440
,431
,432
,437
,439
,439
,436
,432
,430
,430
,435
,438
,438
,430
,430
,435
,438
,439
,436
,431
,434
,434
,435
,433
,427
,430
,435
,439
,432
,427
,433
,433
,438
,436
,429
,430
,430
,431
,433
,430
,430
,426
,428
,429
,429
,425
,424
,423
,423
,425
,427
,428
,430
,424
,422
,427
,428
,425
,427
,418
,418
,423
,426
,426
,424
,417
,421
,425
,427
,424
,414
,416
,421
,420
,420
,421
,417
,413
,417
,422
,417
,416
,415
,416
,421
,421
,420
,423
,416
,415
,420
,418
,423
,425
,424
,425
,419
,415
,421
,422
,423
,420
,417
,414
,418
,419
,419
,417
,411
,411
,419
,419
,418
,414
,412
,419
,423
,418
,414
,413
,418
,422
,422
,416
,411
,414
,417
,420
,417
,417
,413
,413
,419
,419
,415
,411
,410
,410
,413
,411
,414
,410
,406
,411
,412
,412
,406
,406
,409
,410
,410
,406
,403
,407
,406
,410
,410
,405
,404
,401
,404
,406
,407
,403
,403
,402
,405
,411
,411
,411
,409
,405
,412
,416
,416
,416
,412
,413
,412
,412
,413
,416
,421
,421
,419
,837
,416
,423
,418
,423
,412
,415
,417
,420
,421
,423
,420
,416
,415
,415
,420
,419
,414
,414
,417
,419
,425
,420
,419
,414
,414
,420
,418
,420
,412
,413
,417
,421
,419
,419
,411
,409
,411
,409
,416
,420
,420
,422
,417
,413
,414
,417
,420
,421
,421
,415
,415
,415
,416
,417
,417
,414
,414
,409
,409
,414
,413
,412
,415
,406
,408
,415
,412
,411
,404
,405
,409
,409
,407
,408
,407
,402
,402
,400
,403
,402
,402
,400
,395
,396
,396
,399
,400
,398
,393
,395
,400
,404
,401
,400
,396
,398
,400
,404
,398
,404
,396
,398
,402
,402
,403
,400
,395
,395
,395
,398
,400
,397
,393
,391
,395
,395
,399
,403
,403
,401
,400
,398
,399
,404
,400
,401
,395
,395
,395
,397
,397
,395
,398
,395
,393
,396
,397
,396
,396
,390
,390
,392
,394
,399
,399
,398
,397
,397
,397
,399
,400
,397
,395
,393
,395
,395
,400
,396
,397
,391
,392
,395
,398
,400
,395
,394
,393
,397
,400
,399
,396
,391
,391
,396
,394
,390
,391
,386
,389
,393
,392
,392
,388
,387
,389
,390
,393
,399
,394
,397
,393
,391
,395
,396
,395
,395
,389
,390
,392
,391
,396
,397
,393
,398
,389
,393
,397
,397
,398
,396
,393
,396
,399
,398
,398
,393
,392
,394
,393
,389
,395
,398
,396
,396
,392
,395
,390
,390
,388
,394
,395
,391
,388
,387
,386
,389
,389
,387
,385
,383
,380
,382
,385
,387
,385
,381
,380
,381
,383
,389
,386
,382
,380
,382
,384
,387
,386
,383
,380
,382
,384
,386
,382
,386
,378
,379
,383
,386
,379
,381
,376
,379
,380
,382
,383
,376
,380
,376
,375
,380
,380
,382
,381
,377
,379
,385
,386
,385
,381
,382
,376
,381
,385
,383
,379
,378
,374
,380
,381
,378
,375
,371
,373
,375
,380
,380
,379
,382
,376
,376
,382
,383
,385
,386
,382
,383
,386
,387
,390
,385
,383
,382
,384
,382
,387
,387
,388
,384
,379
,382
,383
,386
,385
,385
,382
,377
,382
,384
,383
,381
,379
,376
,379
,382
,382
,382
,384
,376
,377
,379
,381
,385
,381
,383
,378
,381
,379
,382
,388
,387
,384
,381
,381
,388
,389
,388
,381
,384
,379
,386
,388
,384
,383
,383
,378
,387
,386
,385
,384
,379
,379
,381
,384
,381
,380
,377
,376
,378
,384
,383
,380
,380
,378
,380
,379
,380
,386
,387
,389
,386
,390
,383
,386
,390
,388
,387
,385
,383
,385
,384
,384
,381
,381
,377
,377
,384
,379
,378
,374
,372
,374
,376
,378
,374
,373
,373
,375
,379
,380
,377
,376
,376
,381
,382
,384
,382
,379
,383
,384
,382
,384
,384
,379
,384
,377
,379
,378
,379
,384
,382
,381
,382
,375
,380
,382
,384
,380
,382
,377
,380
,384
,385
,382
,382
,378
,382
,384
,384
,380
,380
,378
,383
,386
,387
,380
,380
,385
,389
,384
,387
,382
,383
,388
,390
,386
,381
,382
,386
,388
,386
,380
,379
,382
,383
,384
,384
,380
,380
,386
,389
,384
,380
,381
,382
,383
,384
,386
,390
,396
,395
,394
,391
,389
,391
,393
,393
,392
,392
,387
,386
,391
,392
,388
,385
,383
,390
,388
,384
,386
,379
,384
,383
,387
,383
,378
,381
,384
,384
,382
,378
,378
,380
,384
,381
,380
,374
,378
,385
,380
,380
,375
,381
,384
,385
,381
,379
,381
,384
,387
,383
,382
,380
,385
,386
,383
,380
,378
,383
,385
,382
,381
,378
,379
,381
,382
,381
,374
,374
,380
,375
,378
,371
,371
,374
,376
,374
,378
,371
,372
,376
,379
,376
,378
,375
,377
,382
,384
,385
,388
,380
,391
,395
,396
,397
,389
,392
,401
,404
,402
,397
,393
,399
,400
,399
,397
,390
,389
,397
,394
,390
,385
,383
,390
,389
,383
,385
,377
,384
,384
,385
,384
,379
,379
,384
,385
,382
,385
,382
,380
,386
,387
,386
,387
,379
,383
,381
,380
,386
,386
,384
,385
,383
,378
,382
,385
,384
,381
,378
,376
,380
,384
,379
,380
,375
,376
,376
,375
,380
,381
,380
,377
,375
,376
,382
,381
,380
,378
,377
,378
,384
,383
,381
,381
,377
,382
,387
,383
,383
,378
,379
,382
,383
,381
,380
,376
,377
,379
,380
,377
,374
,371
,376
,376
,378
,374
,371
,370
,371
,372
,372
,377
,380
,377
,378
,375
,379
,375
,375
,378
,380
,378
,377
,371
,374
,373
,378
,376
,376
,373
,370
,369
,376
,373
,373
,371
,369
,371
,375
,375
,374
,369
,371
,374
,378
,373
,377
,370
,372
,377
,378
,375
,374
,372
,375
,377
,379
,376
,373
,372
,377
,378
,378
,372
,372
,376
,379
,377
,375
,370
,372
,376
,375
,373
,376
,370
,372
,368
,369
,372
,376
,372
,371
,368
,371
,371
,376
,377
,382
,378
,380
,377
,378
,378
,381
,383
,380
,380
,377
,375
,379
,381
,380
,379
,377
,378
,382
,381
,385
,377
,377
,382
,386
,382
,380
,378
,383
,383
,384
,382
,381
,382
,387
,387
,390
,388
,386
,391
,393
,396
,398
,395
,397
,398
,402
,401
,407
,397
,402
,406
,408
,412
,404
,405
,405
,407
,410
,412
,417
,417
,415
,410
,419
,417
,419
,416
,410
,415
,416
,422
,422
,416
,414
,415
,416
,418
,428
,434
,439
,443
,445
,436
,437
,434
,431
,429
,444
,459
,461
,461
,464
,465
,460
,451
,449
,437
,431
,425
,424
,425
,444
,473
,467
,474
,475
,480
,468
,459
,458
,458
,465
,485
,492
,493
,502
,495
,497
,480
,475
,469
,466
,466
,481
,524
,531
,523
,524
,518
,518
,503
,489
,472
,467
,457
,454
,470
,491
,498
,510
,511
,488
,507
,511
,492
,494
,498
,503
,492
,488
,488
,489
,492
,479
,471
,473
,477
,484
,496
,491
,488
,493
,507
,508
,495
,499
,502
,515
,497
,502
,506
,519
,525
,502
,508
,514
,530
,526
,502
,514
,520
,529
,515
,509
,520
,533
,554
,526
,528
,534
,549
,546
,526
,526
,526
,541
,640
,566
,757
,658
,609
,594
,587
,574
,551
,551
,552
,555
,558
,546
,556
,553
,556
,555
,553
,544
,532
,533
,528
,524
,522
,527
,534
,549
,551
,542
,552
,557
,564
,554
,553
,558
,563
,567
,550
,544
,539
,542
,559
,574
,586
,597
,601
,578
,577
,571
,557
,546
,530
,520
,516
,512
,515
,528
,536
,532
,537
,550
,565
,558
,554
,553
,556
,571
,644
,677
,666
,660
,659
,652
,635
,602
,579
,562
,551
,550
,566
,620
,658
,626
,642
,628
,619
,613
,604
,604
,596
,589
,588
,567
,573
,569
,569
,559
,563
,573
,591
,582
,590
,599
,616
,616
,592
,585
,582
,582
,595
,618
,635
,626
,632
,622
,608
,605
,590
,570
,562
,553
,554
,576
,610
,625
,630
,648
,635
,612
,598
,590
,569
,558
,556
,550
,545
,553
,557
,556
,563
,568
,558
,557
,551
,545
,550
,581
,599
,616
,628
,633
,640
,624
,630
,635
,604
,598
,590
,586
,582
,568
,564
,565
,578
,597
,626
,644
,657
,637
,619
,621
,616
,599
,584
,580
,576
,582
,578
,580
,587
,605
,607
,593
,594
,588
,581
,572
,569
,564
,562
,566
,570
,577
,571
,570
,574
,584
,595
,589
,594
,607
,623
,612
,613
,621
,627
,610
,619
,622
,622
,601
,609
,613
,599
,600
,603
,614
,605
,609
,616
,629
,619
,606
,606
,607
,601
,600
,612
,632
,625
,636
,642
,636
,637
,642
,628
,616
,618
,611
,609
,597
,601
,605
,613
,600
,589
,582
,576
,578
,592
,642
,695
,802
,755
,735
,725
,706
,677
,650
,628
,606
,600
,589
,584
,579
,575
,578
,586
,603
,591
,594
,601
,607
,606
,592
