Time,Vertical,Lateral,Sagittal
24/09/2019 12:42:22.741,1972,2050,2071
24/09/2019 12:42:22.751,1974,2052,2070
24/09/2019 12:42:22.761,1971,2049,2069
24/09/2019 12:42:22.771,1973,2050,2069
24/09/2019 12:42:22.781,1974,2051,2070
24/09/2019 12:42:22.791,1971,2051,2069
24/09/2019 12:42:22.801,1971,2052,2069
24/09/2019 12:42:22.811,1971,2052,2067
24/09/2019 12:42:22.821,1972,2051,2065
24/09/2019 12:42:22.831,1973,2052,2066
24/09/2019 12:42:22.841,1974,2052,2068
24/09/2019 12:42:22.851,1971,2049,2070
24/09/2019 12:42:22.861,1970,2050,2069
24/09/2019 12:42:22.871,1971,2049,2070
24/09/2019 12:42:22.881,1971,2051,2070
24/09/2019 12:42:22.891,1974,2052,2073
24/09/2019 12:42:22.901,1972,2050,2072
24/09/2019 12:42:22.911,1972,2050,2073
24/09/2019 12:42:22.921,1973,2050,2071
24/09/2019 12:42:22.931,1973,2049,2074
24/09/2019 12:42:22.941,1973,2049,2074
24/09/2019 12:42:22.951,1972,2050,2073
24/09/2019 12:42:22.961,1972,2047,2073
24/09/2019 12:42:22.971,1971,2047,2073
24/09/2019 12:42:22.981,1973,2048,2070
24/09/2019 12:42:22.991,1974,2047,2070
24/09/2019 12:42:23.001,1973,2048,2068
24/09/2019 12:42:23.011,1974,2047,2066
24/09/2019 12:42:23.021,1973,2048,2066
24/09/2019 12:42:23.031,1974,2048,2069
24/09/2019 12:42:23.041,1973,2047,2069
24/09/2019 12:42:23.051,1972,2050,2070
24/09/2019 12:42:23.061,1970,2049,2072
24/09/2019 12:42:23.071,1969,2047,2072
24/09/2019 12:42:23.081,1972,2049,2069
24/09/2019 12:42:23.091,1971,2048,2070
24/09/2019 12:42:23.101,1971,2048,2071
24/09/2019 12:42:23.111,1971,2046,2072
24/09/2019 12:42:23.121,1971,2045,2073
24/09/2019 12:42:23.131,1973,2044,2070
24/09/2019 12:42:23.141,1970,2043,2072
24/09/2019 12:42:23.151,1973,2045,2070
24/09/2019 12:42:23.161,1973,2045,2070
24/09/2019 12:42:23.171,1974,2047,2070
24/09/2019 12:42:23.181,1974,2048,2070
24/09/2019 12:42:23.191,1972,2049,2070
24/09/2019 12:42:23.201,1969,2049,2068
24/09/2019 12:42:23.211,1970,2050,2067
24/09/2019 12:42:23.221,1968,2048,2069
24/09/2019 12:42:23.231,1970,2049,2067
24/09/2019 12:42:23.241,1970,2049,2069
24/09/2019 12:42:23.251,1969,2050,2070
24/09/2019 12:42:23.261,1970,2052,2071
24/09/2019 12:42:23.271,1971,2051,2072
24/09/2019 12:42:23.281,1969,2051,2072
24/09/2019 12:42:23.291,1969,2051,2072
24/09/2019 12:42:23.301,1969,2051,2070
24/09/2019 12:42:23.311,1972,2050,2069
24/09/2019 12:42:23.321,1973,2049,2070
24/09/2019 12:42:23.331,1971,2049,2069
24/09/2019 12:42:23.341,1972,2049,2067
24/09/2019 12:42:23.351,1972,2047,2068
24/09/2019 12:42:23.361,1970,2050,2070
24/09/2019 12:42:23.371,1971,2049,2070
24/09/2019 12:42:23.381,1969,2050,2069
24/09/2019 12:42:23.391,1969,2049,2069
24/09/2019 12:42:23.401,1967,2048,2069
24/09/2019 12:42:23.411,1969,2047,2068
24/09/2019 12:42:23.421,1968,2050,2068
24/09/2019 12:42:23.431,1967,2051,2068
24/09/2019 12:42:23.441,1966,2049,2068
24/09/2019 12:42:23.451,1969,2049,2067
24/09/2019 12:42:23.461,1968,2048,2066
24/09/2019 12:42:23.471,1967,2049,2068
24/09/2019 12:42:23.481,1970,2047,2069
24/09/2019 12:42:23.491,1971,2049,2067
24/09/2019 12:42:23.501,1971,2049,2066
24/09/2019 12:42:23.511,1972,2048,2068
24/09/2019 12:42:23.521,1972,2048,2069
24/09/2019 12:42:23.531,1972,2047,2070
24/09/2019 12:42:23.541,1972,2048,2070
24/09/2019 12:42:23.551,1972,2049,2072
24/09/2019 12:42:23.561,1973,2049,2072
