Time,RtoR
,454
,464
,469
,471
,476
,474
,474
,474
,467
,466
,456
,455
,448
,448
,449
,447
,453
,460
,477
,476
,480
,477
,476
,474
,472
,464
,460
,450
,449
,447
,450
,457
,456
,460
,465
,463
,463
,460
,458
,462
,466
,465
,468
,468
,470
,474
,475
,477
,475
,474
,471
,465
,464
,455
,449
,452
,452
,451
,452
,453
,453
,454
,448
,443
,438
,441
,437
,436
,437
,445
,459
,461
,460
,456
,455
,455
,452
,446
,447
,448
,458
,472
,477
,488
,491
,488
,487
,481
,475
,472
,466
,459
,454
,449
,442
,434
,430
,428
,428
,429
,429
,429
,434
,435
,437
,438
,442
,446
,445
,448
,447
,447
,459
,461
,473
,472
,477
,473
,471
,465
,459
,451
,442
,436
,428
,420
,411
,412
,425
,439
,445
,441
,446
,455
,485
,491
,492
,497
,500
,526
,551
,562
,542
,515
,503
,494
,491
,492
,495
,493
,502
,498
,495
,493
,490
,476
,471
,462
,456
,443
,439
,443
,443
,440
,443
,443
,443
,441
,439
,437
,431
,429
,434
,440
,442
,453
,445
,451
,453
,459
,460
,457
,462
,460
,456
,456
,449
,446
,442
,442
,448
,462
,458
,456
,454
,455
,451
,454
,455
,452
,451
,449
,447
,445
,443
,442
,439
,438
,438
,443
,456
,472
,483
,485
,491
,481
,475
,473
,461
,454
,449
,438
,431
,433
,444
,462
,478
,488
,494
,481
,471
,473
,480
,505
,524
,547
,554
,535
,516
,508
,493
,484
,473
,467
,464
,474
,482
,484
,482
,479
,479
,477
,473
,470
,465
,462
,457
,453
,449
,460
,476
,479
,480
,476
,478
,485
,489
,487
,487
,484
,479
,473
,467
,919
,448
,440
,438
,446
,452
,452
,455
,453
,453
,453
,453
,451
,460
,455
,455
,457
,461
,466
,471
,470
,468
,468
,468
,465
,460
,459
,454
,450
,447
,448
,446
,449
,447
,448
,452
,461
,462
,465
,465
,464
,463
,460
,460
,460
,456
,459
,458
,455
,453
,450
,449
,446
,445
,444
,444
,441
,438
,436
,429
,433
,435
,441
,439
,444
,446
,449
,453
,453
,451
,448
,448
,446
,446
,446
,443
,437
,436
,432
,441
,474
,502
,517
,507
,499
,483
,477
,475
,472
,481
,480
,482
,477
,472
,469
,467
,470
,475
,488
,489
,484
,479
,480
,480
,480
,480
,475
,470
,467
,462
,452
,448
,446
,445
,439
,434
,436
,436
,434
,440
,446
,457
,469
,470
,471
,472
,468
,481
,478
,477
,483
,479
,478
,473
,468
,465
,462
,460
,467
,473
,492
,503
,506
,499
,494
,488
,482
,478
,471
,473
,477
,478
,480
,476
,477
,474
,466
,462
,451
,453
,449
,453
,451
,454
,452
,458
,458
,466
,470
,472
,475
,471
,472
,473
,470
,468
,473
,473
,473
,473
,473
,469
,462
,461
,456
,454
,455
,453
,452
,454
,456
,468
,479
,497
,499
,495
,481
,474
,471
,470
,469
,467
,472
,466
,468
,462
,458
,449
,458
,461
,464
,459
,457
,456
,459
,463
,463
,462
,472
,468
,472
,474
,480
,480
,484
,482
,483
,479
,474
,468
,460
,457
,457
,456
,462
,477
,492
,489
,494
,493
,491
,484
,480
,473
,473
,476
,490
,499
,510
,506
,513
,514
,507
,507
,498
,488
,482
,474
,470
,471
,477
,472
,468
,473
,470
,469
,465
,466
,463
,465
,468
,466
,463
,463
,460
,458
,455
,456
,460
,469
,472
,476
,473
,470
,468
,469
,467
,466
,467
,466
,468
,463
,467
,465
,460
,457
,452
,449
,445
,437
,438
,434
,435
,440
,440
,441
,439
,443
,440
,442
,446
,458
,472
,486
,493
,487
,479
,472
,472
,474
,477
,482
,481
,483
,484
,479
,478
,476
,473
,467
,462
,460
,454
,453
,448
,444
,441
,441
,445
,458
,485
,487
,489
,482
,470
,464
,462
,457
,459
,451
,453
,447
,453
,457
,455
,451
,453
,449
,448
,442
,443
,445
,445
,452
,456
,457
,460
,457
,458
,458
,457
,456
,455
,455
,452
,455
,454
,452
,459
,462
,464
,468
,469
,472
,469
,469
,465
,461
,460
,460
,457
,457
,463
,482
,489
,498
,492
,493
,489
,487
,480
,476
,472
,466
,466
,466
,473
,484
,487
,489
,482
,484
,485
,483
,481
,476
,473
,468
,463
,453
,450
,450
,443
,440
,434
,434
,436
,447
,483
,518
,527
,530
,513
,494
,483
,481
,488
,500
,512
,517
,518
,510
,511
,500
,490
,477
,465
,458
,454
,456
,455
,454
,455
,456
,454
,450
,448
,448
,458
,476
,492
,503
,507
,502
,490
,486
,481
,486
,488
,498
,512
,516
,519
,505
,506
,500
,498
,494
,487
,488
,486
,481
,479
,475
,474
,472
,466
,464
,457
,450
,449
,456
,463
,468
,467
,470
,469
,466
,460
,460
,457
,457
,460
,463
,467
,466
,468
,470
,477
,484
,480
,480
,479
,474
,472
,468
,461
,457
,453
,449
,450
,462
,471
,471
,470
,473
,471
,469
,464
,461
,455
,451
,445
,439
,442
,453
,477
,498
,504
,515
,566
,633
,699
,661
,650
,590
,550
,530
,527
,524
,517
,514
,506
,497
,490
,485
,474
,469
,460
,453
,447
,448
,456
,460
,454
,456
,458
,464
,468
,473
,474
,472
,470
,468
,465
,464
,461
,466
,489
,510
,532
,518
,503
,495
,490
,486
,489
,483
,480
,478
,476
,481
,483
,486
,486
,485
,483
,481
,482
,478
,477
,477
,472
,469
,464
,459
,457
,454
,454
,457
,469
,478
,489
,487
,488
,485
,485
,484
,480
,478
,476
,471
,471
,470
,463
,460
,454
,453
,453
,453
,454
,451
,450
,451
,449
,448
,451
,447
,450
,448
,448
,447
,449
,450
,449
,449
,446
,446
,450
,472
,481
,489
,494
,491
,489
,480
,478
,470
,467
,469
,476
,479
,478
,478
,478
,478
,474
,472
,467
,457
,453
,448
,442
,451
,465
,479
,481
,487
,482
,485
,474
,473
,464
,461
,458
,461
,456
,459
,455
,453
,456
,455
,455
,455
,454
,457
,455
,460
,461
,461
,460
,462
,460
,459
,461
,458
,459
,454
,448
,444
,441
,438
,431
,431
,433
,429
,427
,431
,439
,448
,462
,478
,475
,693
,705
,1319
,512
,616
,588
,277
,722
,117
