SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,19,32931409,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,19,32950819,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,19,32955569,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,19,32975439,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,19,34991754,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.39g
0,2019,09,19,35001086,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,19,35001753,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,19,35001753,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
