Time,BtoB
,6000
,6040
,3560
,2040
,3320
,5960
,4760
,5200
,4080
,3480
,3640
,1800
,2400
,1360
,2200
,2040
,2320
,1680
,5320
,4520
,3680
,1480
,3160
,1680
,1840
,2760
,4120
,1280
,1200
,2640
,1400
,6120
,1840
,2200
,4200
,2000
,1520
,1560
,3880
,1560
,5520
,4000
,3640
,3960
,2920
,1880
,2320
,1440
,1840
,2280
,4000
,1400
,4680
,2000
,1320
,1520
,2240
,1240
,2120
,1480
,2160
,2040
,1560
,2280
,1840
,2480
,2160
,1560
,1560
,1480
,1680
,1920
,2080
,6400
,4680
,6000
,6000
,2080
,2040
,1880
,3920
,1680
,4200
,1960
,3760
,2080
,2520
,2440
,2520
,2400
,1880
,1280
,7640
,1640
,3920
,5080
,6000
,2040
,2640
,3600
,6000
,4720
,8640
,7000
,2080
,4120
,2040
,2040
,1680
,1720
,2960
,1560
,2280
,2120
,3560
,3080
,5760
,1520
,1040
,2400
,1240
,3080
,1440
,3920
,1240
,5160
,4880
,4680
,3800
,1320
,3880
,1360
,5240
,1680
,2440
,1320
,1720
,1440
,3920
,1840
,1160
,6160
,1680
,1600
,2240
,1240
,3920
,2840
,2280
,1320
,3000
,2880
,1480
,880
,1240
,2520
,1680
,4720
,4120
,2680
,1520
,1880
,2320
,1800
,4960
,3720
,4040
,1680
,3080
,2240
,2240
,1600
,3200
,3400
,3960
,5480
,4520
,1560
,2080
,1520
,1880
,1120
,3360
,2480
,1960
,1360
,2640
,1880
,1600
,2800
,1920
,1720
,1680
,1440
,2080
,1720
,1720
,1920
,2120
,1960
,1440
,1440
,1760
,1760
,1600
,2040
,1800
,1880
,1600
,1960
,1920
,2080
,1760
,1720
,2040
,1720
,1880
,2160
,1640
,1360
,3000
,1680
,1640
,2800
,1720
,1400
,1720
,1920
,1640
,1880
,2000
,1720
,1720
,4240
,2000
,2120
,2560
,1760
,2520
,2640
,1960
,2080
,1920
,1880
,1360
,1600
,2880
,880
,4800
,1680
,1800
,1840
,3200
,1720
,2080
,2120
,1920
,1800
,2160
,2240
,1840
,1880
,1960
,2000
,1800
,2120
,1640
,2200
,1920
,1880
,1960
,1640
,2120
,1720
,1800
,2120
,2080
,1680
,1960
,2320
,1720
,2280
,4120
,1600
,2640
,1240
,2880
,3120
,2200
,1520
,2000
,2040
,2080
,3160
,1680
,4440
,2000
,2240
,1240
,2000
,2040
,1960
,1280
,1920
,1880
,1960
,4560
,2400
,3440
,4320
,1520
,3960
,2280
,2440
,1920
,2040
,2080
,1560
,2320
,1880
,1880
,1960
,1840
,1800
,1920
,1600
,1880
,2320
,1720
,2560
