Time,RtoR
,20221
,32767
,1047
,533
,1055
,515
,504
,493
,486
,480
,475
,472
,470
,942
,484
,500
,522
,520
,521
,512
,519
,518
,515
,521
,528
,551
,563
,571
,575
,569
,564
,549
,538
,527
,518
,510
,507
,500
,494
,498
,496
,497
,495
,500
,510
,507
,513
,522
,529
,526
,527
,532
,525
,536
,540
,542
,551
,548
,546
,1065
,529
,526
,525
,524
,524
,513
,509
,510
,1011
,493
,490
,484
,478
,483
,486
,485
,486
,490
,489
,498
,512
,523
,523
,532
,550
,559
,553
,554
,568
,569
,572
,565
,554
,551
,549
,545
,541
,541
,536
,537
,537
,546
,554
,555
,554
,550
,549
,545
,546
,551
,551
,548
,546
,541
,535
,534
,528
,527
,527
,528
,530
,531
,534
,535
,535
,535
,532
,532
,528
,526
,528
,536
,542
,557
,567
,580
,578
,565
,565
,553
,552
,549
,546
,540
,538
,540
,543
,539
,537
,538
,541
,541
,552
,557
,563
,561
,561
,556
,555
,543
,537
,532
,531
,530
,534
,547
,563
,570
,577
,564
,559
,564
,564
,564
,568
,561
,559
,554
,549
,542
,536
,530
,531
,536
,548
,570
,592
,585
,586
,589
,600
,611
,614
,606
,586
,568
,561
,556
,555
,559
,563
,568
,561
,551
,541
,532
,526
,519
,519
,521
,533
,553
,576
,575
,581
,586
,593
,597
,590
,580
,575
,572
,569
,560
,552
,546
,541
,541
,541
,541
,545
,551
,550
,547
,544
,541
,547
,540
,531
,525
,519
,525
,522
,518
,516
,511
,512
,513
,517
,519
,525
,540
,562
,581
,572
,571
,578
,590
,599
,594
,597
,588
,582
,572
,564
,557
,546
,539
,534
,535
,542
,550
,571
,576
,585
,593
,588
,591
,578
,571
,570
,571
,570
,568
,556
,544
,533
,527
,527
,528
,536
,544
,550
,553
,566
,571
,586
,601
,594
,594
,595
,590
,591
,576
,566
,558
,549
,548
,541
,534
,536
,534
,541
,538
,544
,543
,541
,545
,548
,557
,558
,559
,562
,549
,543
,533
,520
,513
,509
,518
,529
,553
,574
,608
,619
,627
,632
,633
,612
,603
,597
,580
,572
,551
,550
,540
,540
,536
,535
,534
,533
,532
,530
,530
,529
,530
,533
,537
,538
,541
,536
,532
,531
,529
,525
,525
,521
,521
,522
,524
,531
,530
,529
,526
,523
,522
,521
,513
,508
,501
,500
,15594
,1151
,577
,576
,574
,571
,564
,559
,552
,545
,545
,547
,553
,558
,561
,560
,561
,564
,554
,549
,539
,535
,531
,526
,522
,521
,520
,521
,531
,544
,562
,579
,600
,595
,576
,587
,591
,593
,595
,594
,585
,580
,575
,569
,566
,561
,556
,556
,563
,567
,563
,566
,570
,568
,558
,558
,561
,570
,573
,572
,575
,576
,579
,568
,568
,570
,572
,573
,574
,576
,576
,570
,568
,554
,545
,535
,533
,529
,532
,532
,532
,528
,526
,525
,520
,518
,513
,506
,502
,508
,535
,587
,671
,720
,757
,751
,704
,662
,651
,646
,638
,629
,623
,613
,601
,9801
,585
,594
,594
,587
,586
,587
,584
,576
,575
,570
,571
,574
,571
,574
,578
,577
,574
,568
,567
,559
,562
,16997
,482
,565
,560
,562
,560
,562
,562
,567
,575
,580
,583
,584
,580
,577
,575
,571
,564
,563
,559
,558
,551
,551
,550
,556
,560
,567
,574
,574
,573
,565
,569
,562
,556
,549
,540
,529
,521
,513
,509
,504
,501
,501
,503
,507
,511
,516
,521
,526
,532
,537
,548
,551
,551
,546
,544
,537
,533
,531
,531
,539
,545
,558
,566
,564
,569
,572
,572
,572
,566
,555
,551
,546
,542
,540
,540
,540
,541
,544
,552
,553
,555
,552
,550
,551
,551
,547
,543
,541
,536
,533
,529
,527
,530
,540
,546
,551
,559
,564
,570
,571
,569
,565
,560
,551
,546
,540
,534
,536
,532
,533
,536
,542
,548
,552
,562
,569
,572
,576
,577
,562
,557
,549
,540
,535
,530
,528
,530
,535
,537
,543
,544
,551
,549
,554
,553
,561
,556
,554
,557
,560
,563
,565
,559
,557
,554
,547
,545
,540
,541
,545
,545
,548
,550
,551
,552
,555
,556
,553
,548
,547
,540
,539
,535
,534
,535
,532
,530
,531
,536
,541
,545
,552
,559
,557
,556
,556
,552
,544
,539
,534
,531
,532
,534
,538
,552
,555
,563
,572
,574
,581
,572
,565
,565
,555
,552
,547
,546
,543
,545
,545
,544
,544
,545
,544
,538
,546
,550
,561
,583
,587
,586
,588
,593
,584
,581
,577
,575
,567
,559
,547
,540
,533
,528
,534
,540
,553
,569
,574
,579
,572
,571
,568
,562
,559
,562
,564
,562
,558
,555
,554
,551
,550
,546
,540
,535
,529
,525
,522
,524
,524
,530
,555
,627
,726
,706
,698
,681
,652
,633
,617
,599
,594
,588
,581
,577
,557
,546
,537
,538
,537
,543
,544
,550
,552
,551
,553
,548
,540
,542
,541
,543
,540
,544
,548
,554
,549
,557
,556
,553
,556
,554
,549
,548
,541
,534
,528
,520
,520
,523
,525
,524
,524
,519
,525
,536
,548
,552
,565
,570
,572
,568
,563
,550
,546
,540
,532
,528
,526
,523
,526
,524
,530
,541
,556
,558
,562
,560
,557
,554
,543
,532
,535
,527
,523
,523
,522
,520
,517
,512
,504
,502
,502
,501
,500
,498
,495
,494
,496
,499
,508
,528
,556
,591
,607
,624
,645
,648
,621
,621
,622
,606
,606
,601
,595
,589
,580
,577
,561
,550
,541
,538
,545
,562
,586
,589
,595
,600
,613
,600
,606
,596
,583
,580
,577
,586
,574
,573
,579
,571
,562
,550
,538
,532
,529
,528
,526
,528
,528
,527
,524
,523
,524
,516
,517
,517
,514
,515
,522
,530
,531
,539
,536
,529
,528
,525
,525
,524
,524
,520
,521
,519
,518
,515
,512
,513
,513
,507
,512
,512
,510
,514
,517
,516
,525
,527
,529
,533
,529
,530
,532
,529
,530
,532
,532
,531
,537
,537
,538
,537
,532
,529
,525
,521
,518
,518
,520
,519
,524
,529
,532
,536
,539
,539
,533
,536
,537
,537
,537
,541
,536
,542
,544
,544
,549
,547
,544
,537
,542
,542
,539
,533
,533
,533
,530
,533
,531
,531
,533
,533
,531
,535
,540
,539
,545
,547
,546
,545
,547
,543
,547
,546
,543
,535
,539
,539
,538
,535
,536
,537
,534
,535
,538
,536
,537
,537
,538
,544
,544
,542
,535
,540
,540
,543
,539
,541
,540
,540
,539
,537
,533
,531
,532
,537
,536
,540
,540
,534
,540
,537
,539
,531
,532
,528
,523
,521
,518
,518
,517
,524
,523
,521
,521
,525
,525
,527
,531
,527
,531
,527
,525
,525
,524
,520
,518
,519
,524
,524
,522
,525
,531
,530
,533
,534
,528
,529
,528
,525
,531
,531
,532
,529
,533
,536
,533
,531
,532
,525
,528
,528
,527
,525
,532
,533
,540
,542
,545
,546
,551
,542
,541
,539
,535
,529
,529
,524
,524
,523
,527
,524
,525
,525
,530
,530
,530
,531
,535
,540
,536
,536
,531
,531
,534
,539
,540
,540
,541
,538
,532
,530
,527
,522
,522
,522
,526
,521
,529
,537
,544
,542
,549
,553
,552
,551
,551
,547
,540
,540
,538
,531
,530
,530
,526
,526
,526
,525
,525
,522
,527
,526
,537
,541
,544
,538
,538
,537
,530
,528
,524
,519
,514
,516
,516
,518
,513
,515
,511
,508
,506
,509
,511
,521
,529
,524
,531
,535
,542
,538
,545
,541
,540
,531
,528
,524
,519
,515
,514
,513
,516
,519
,523
,533
,530
,538
,543
,548
,547
,552
,553
,552
,556
,554
,554
,548
,546
,537
,537
,531
,528
,526
,527
,528
,532
,532
,530
,543
,540
,541
,536
,538
,534
,532
,535
,536
,536
,532
,533
,532
,535
,529
,530
,528
,525
,520
,517
,518
,518
,521
,527
,533
,533
,540
,544
,539
,544
,545
,541
,550
,547
,551
,546
,545
,542
,535
,532
,526
,523
,517
,518
,514
,520
,516
,521
,525
,527
,527
,531
,532
,532
,539
,537
,543
,536
,537
,538
,537
,540
,535
,534
,529
,530
,528
,528
,526
,518
,508
,496
,495
,494
,492
,502
,519
,528
,547
,546
,534
,540
,538
,553
,555
,571
,562
,567
,571
,565
,564
,558
,558
,554
,546
,541
,538
,535
,530
,528
,526
,524
,526
,526
,529
,533
,545
,555
,560
,557
,563
,561
,557
,553
,549
,545
,533
,528
,519
,500
,506
,495
,497
,495
,496
,498
,499
,503
,497
,497
,500
,502
,513
,532
,541
,545
,558
,566
,562
,566
,557
,553
,548
,548
,544
,542
,536
,536
,536
,536
,538
,533
,529
,523
,519
,520
,524
,524
,527
,529
,531
,530
,533
,535
,534
,529
,527
,523
,522
,517
,520
,520
,524
,524
,530
,532
,538
,543
,538
,538
,541
,546
,552
,551
,546
,542
,544
,540
,545
,551
,552
,556
,548
,542
,536
,528
,525
,521
,518
,517
,519
,526
,536
,541
,541
,558
,568
,556
,561
,567
,568
,561
,559
,554
,549
,555
,552
,555
,548
,547
,543
,543
,545
,546
,550
,549
,551
,551
,555
,552
,552
,553
,551
,547
,546
,546
,542
,541
,539
,538
,536
,539
,540
,538
,539
,539
,535
,539
,534
,533
,532
,531
,529
,528
,533
,529
,532
,533
,530
,527
,522
,525
,525
,523
,521
,524
,522
,522
,522
,525
,527
,534
,535
,539
,540
,544
,541
,540
,542
,540
,539
,536
,535
,528
,531
,531
,530
,527
,530
,526
,525
,520
,515
,515
,515
,519
,533
,538
,532
,540
,539
,539
,534
,533
,527
,525
,528
,533
,539
,549
,547
,546
,546
,539
,536
,533
,528
,529
,526
,525
,521
,524
,528
,533
,543
,544
,553
,558
,561
,554
,557
,550
,541
,539
,535
,530
,531
,528
,529
,525
,531
,527
,528
,528
,528
,529
,528
,526
,519
,522
