Time,RtoR
,629
,635
,616
,637
,633
,648
,630
,641
,634
,636
,628
,614
,614
,601
,588
,583
,591
,591
,615
,601
,615
,613
,618
,612
,631
,613
,603
,606
,615
,603
,591
,599
,610
,611
,609
,633
,641
,612
,619
,616
,603
,591
,606
,606
,604
,609
,639
,638
,615
,639
,632
,616
,638
,643
,618
,644
,647
,617
,622
,627
,613
,592
,609
,610
,590
,613
,610
,590
,605
,616
,586
,595
,589
,579
,585
,585
,571
,569
,577
,570
,565
,571
,577
,562
,564
,575
,561
,567
,576
,579
,563
,573
,575
,560
,564
,564
,561
,559
,573
,570
,551
,559
,555
,551
,550
,553
,552
,545
,546
,543
,541
,540
,545
,544
,528
,537
,545
,541
,535
,533
,535
,528
,524
,530
,520
,516
,516
,519
,522
,525
,526
,515
,522
,528
,529
,527
,525
,527
,522
,511
,517
,518
,515
,512
,513
,523
,517
,522
,527
,521
,520
,524
,536
,543
,533
,549
,564
,574
,564
,567
,578
,556
,569
,564
,564
,548
,546
,547
,527
,536
,543
,557
,553
,559
,576
,564
,565
,574
,564
,559
,557
,555
,549
,548
,551
,559
,545
,548
,557
,557
,552
,558
,571
,564
,566
,582
,565
,569
,566
,560
,553
,538
,536
,540
,552
,547
,562
,563
,550
,554
,553
,562
,549
,556
,558
,554
,550
,551
,564
,570
,570
,581
,584
,573
,571
,581
,563
,570
,573
,577
,563
,567
,578
,564
,566
,566
,576
,559
,570
,577
,551
,555
,553
,555
,544
,552
,541
,521
,526
,527
,535
,544
,556
,560
,542
,550
,544
,550
,562
,560
,541
,540
,539
,529
,534
,543
,540
,545
,551
,561
,549
,560
,562
,551
,556
,554
,549
,553
,554
,566
,551
,556
,556
,569
,575
,590
,595
,573
,587
,575
,553
,555
,550
,543
,554
,565
,557
,570
,579
,593
,607
,601
,580
,599
,591
,576
,579
,576
,563
,551
,556
,549
,559
,565
,599
,609
,583
,597
,603
,593
,587
,599
,594
,579
,578
,595
,580
,579
,596
,607
,588
,588
,603
,584
,599
,587
,591
,583
,598
,617
,638
,604
,589
,596
,584
,589
,570
,573
,574
,578
,584
,570
,582
,565
,576
,568
,570
,568
,568
,548
,547
,556
,547
,556
,569
,570
,579
,570
,570
,569
,563
,539
,543
,532
,516
,521
,518
,523
,519
,526
,540
,535
,529
,541
,559
,560
,561
,577
,586
,591
,568
,566
,570
,566
,557
,560
,559
,551
,550
,564
,561
,559
,564
,564
,554
,559
,572
,556
,571
,574
,563
,566
,565
,571
,552
,563
,571
,565
,562
,569
,574
,557
,574
,573
,564
,565
,574
,557
,563
,562
,556
,560
,560
,568
,571
,581
,584
,558
,560
,555
,560
,538
,546
,545
,550
,561
,569
,587
,574
,564
,567
,568
,559
,551
,556
,547
,540
,540
,549
,543
,523
,530
,535
,545
,547
,549
,546
,539
,528
,530
,530
,534
,528
,527
,528
,547
,543
,548
,561
,550
,554
,561
,573
,559
,569
,580
,563
,565
,562
,568
,548
,550
,554
,568
,553
,557
,565
,547
,544
,545
,533
,533
,538
,543
,533
,535
,534
,527
,523
,530
,525
,524
,532
,541
,550
,552
,573
,566
,565
,573
,566
,559
,558
,556
,557
,544
,548
,546
,545
,552
,560
,581
,579
,589
,565
,574
,570
,557
,557
,565
,542
,549
,557
,544
,547
,555
,545
,546
,548
,557
,562
,544
,550
,549
,551
,544
,550
,543
,550
,552
,550
,555
,545
,560
,556
,545
,548
,546
,555
,546
,564
,568
,564
,564
,571
,583
,568
,588
,587
,615
,599
,609
,602
,592
,583
,585
,573
,556
,563
,547
,535
,536
,553
,563
,549
,570
,564
,570
,570
,584
,576
,570
,580
,572
,560
,562
,568
,554
,549
,549
,545
,535
,534
,552
,556
,562
,560
,573
,576
,565
,579
,575
,562
,564
,564
,559
,547
,555
,557
,551
,550
,559
,555
,555
,562
,563
,547
,547
,547
,532
,539
,542
,543
,541
,535
,543
,543
,542
,547
,556
,551
,545
,557
,547
,544
,545
,553
,554
,538
,544
,544
,545
,541
,559
,552
,550
,548
,538
,554
,564
,558
,555
,559
,560
,546
,560
,561
,559
,547
,548
,561
,566
,568
,548
,553
,553
,552
,548
,529
,541
,546
,547
,541
,544
,547
,541
,542
,547
,545
,551
,536
,548
,551
,556
,546
,543
,548
,551
,547
,547
,551
,547
,545
,556
,560
,549
,555
,556
,556
,531
,537
,536
,524
,517
,516
,519
,531
,560
,599
,610
,602
,596
,598
,589
,585
,555
,567
,557
,559
,544
,543
,542
,527
,543
,551
,554
,552
,556
,568
,550
,557
,559
,542
,547
,541
,534
,529
,534
,531
,523
,532
,530
,523
,515
,510
,507
,513
,515
,504
,513
,516
,508
,512
,509
,518
,511
,514
,519
,519
,525
,535
,535
,526
,526
,533
,529
,526
,534
,538
,534
,546
,554
,540
,546
,550
,544
,535
,537
,550
,534
,546
,558
,559
,555
,557
,573
,556
,566
,568
,566
,558
,564
,566
,557
,571
,563
,558
,558
,569
,569
,564
,570
,564
,551
,537
,524
,532
,539
,553
,549
,559
,556
,546
,544
,558
,550
,552
,562
,561
,555
,559
,570
,552
,559
,559
,546
,546
,550
,556
,549
,563
,569
,564
,556
,564
,564
,555
,563
,554
,554
,550
,542
,532
,537
,534
,531
,532
,542
,544
,539
,542
,544
,540
,536
,541
,540
,546
,551
,549
,541
,540
