Time,RtoR
,608
,626
,602
,631
,637
,595
,593
,624
,622
,587
,603
,645
,599
,587
,639
,653
,608
,630
,665
,609
,590
,609
,600
,581
,599
,611
,585
,611
,592
,586
,600
,588
,579
,564
,545
,546
,567
,570
,552
,572
,594
,572
,559
,585
,606
,578
,576
,619
,648
,589
,597
,621
,633
,581
,587
,605
,606
,570
,586
,619
,622
,583
,605
,627
,595
,569
,584
,598
,568
,568
,615
,622
,586
,625
,689
,614
,594
,631
,633
,589
,609
,633
,599
,586
,620
,643
,604
,631
,641
,612
,577
,592
,612
,609
,573
,590
,612
,617
,582
,590
,628
,657
,598
,621
,639
,608
,586
,611
,632
,600
,588
,617
,633
,595
,605
,646
,652
,602
,616
,646
,604
,589
,623
,639
,592
,604
,631
,610
,579
,605
,646
,605
,586
,609
,640
,596
,585
,618
,627
,586
,583
,627
,638
,590
,594
,631
,650
,599
,614
,585
,591
,625
,603
,579
,594
,628
,588
,586
,609
,649
,626
,595
,633
,664
,596
,591
,583
,601
,606
,624
,656
,660
,587
,590
,585
,586
,608
,618
,578
,593
,599
,568
,569
,593
,637
,666
,662
,595
,585
,618
,626
,577
,583
,623
,629
,595
,629
,708
,621
,620
,687
,642
,608
,653
,645
,597
,636
,616
,583
,598
,592
,624
,650
,755
,630
,616
,625
,617
,657
,707
,615
,590
,595
,600
,623
,665
,718
,612
,613
,629
,690
,655
,637
,619
,627
,632
,591
,583
,615
,577
,583
,638
,607
,613
,657
,720
,647
,641
,668
,698
,617
,620
,646
,680
,612
,585
,593
,592
,612
,640
,679
,620
,621
,607
,637
,660
,675
,653
,665
,656
,611
,584
,570
,594
,598
,577
,595
,668
,724
,721
,655
,650
,646
,659
,671
,682
,627
,612
,618
,611
,643
,671
,681
,670
,633
,586
,590
,570
,571
,611
,647
,665
,610
,587
,584
,594
,644
,658
,697
,609
,612
,625
,636
,674
,679
,671
,644
,624
,579
,575
,585
,572
,554
,560
,559
,581
,630
,738
,720
,746
,741
,727
,640
,619
,578
,574
,597
,592
,565
,566
,562
,564
,572
,552
,558
,619
,659
,595
,633
,720
,743
,753
,708
,612
,599
,619
,601
,577
,591
,654
,714
,613
,628
,699
,634
,601
,656
,675
,604
,620
,653
,603
,593
,615
,634
,667
,678
,611
,607
,634
,613
,577
,607
,639
,600
,591
,626
,637
,593
,594
,623
,618
,583
,602
,632
,586
,593
,635
,591
,601
,620
,635
,680
,707
,711
,682
,611
,594
,628
,654
,670
,592
,595
,614
,621
,654
,672
,610
,589
,622
,656
,687
,629
,587
,590
,606
,576
,568
,601
,585
,610
,684
,622
,620
,711
,655
,616
,651
,692
,618
,638
,680
,619
,615
,666
,645
,599
,620
,617
,608
,601
,613
,655
,667
,619
,577
,583
,581
,594
,634
,587
,578
,592
,604
,616
,637
,672
,655
,641
,626
,621
,607
,566
,561
,570
,582
,631
,593
,606
,657
,726
,621
,616
,650
,697
,755
,674
,605
,598
,619
,629
,657
,657
,618
,642
,671
,599
,590
,633
,629
,610
,599
,615
,634
,630
,571
,566
,560
,555
,546
,546
,570
,593
,628
,659
,707
,628
,575
,565
,561
,558
,575
,587
,668
,733
,646
,644
,658
,779
,732
,641
,627
,597
,639
,591
,578
,626
,686
,602
,640
,708
,619
,649
,735
,631
,623
,681
,659
,607
,653
,683
,606
,633
,672
,619
,624
,639
,687
,722
,631
,599
,639
,616
,612
,644
,629
,595
,608
,667
,709
,612
,594
,626
,637
,597
,615
,666
,614
,593
,630
,608
,581
,598
,605
,572
,580
,604
,586
,574
,601
,593
,574
,604
,654
,616
,584
,595
,586
,576
,563
,542
,557
,569
,586
,553
,568
,606
,686
,675
,595
,578
,588
,557
,567
,560
,562
,581
,616
,610
,575
,578
,587
,605
,632
,652
,658
,582
,555
,557
,561
,555
,571
,612
,618
,613
,612
,602
,592
,587
,549
,561
,549
,533
,526
,546
,545
,552
,571
,596
,569
,559
,556
,562
,609
,665
,593
,568
,586
,595
,583
,552
,548
,559
,574
,564
,570
,594
,631
,642
,655
,657
,648
,616
,581
,567
,545
,552
,570
,588
,554
,542
,554
,586
,702
,668
,635
,617
,668
,678
,642
,578
,570
,561
,577
,625
,632
,639
,622
,623
,588
,559
,556
,550
,550
,587
,574
,558
,558
,625
,706
,601
,603
,683
,628
,598
,654
,663
,602
,625
,687
,618
,650
,663
,622
,582
,577
,556
,563
,561
,548
,555
,574
,609
,679
,613
,597
,667
,691
,610
,634
,680
,618
,603
,670
,664
,604
,637
,691
,633
,611
,668
,673
,603
,607
,653
,664
,600
,597
,646
,645
,591
,619
,645
,602
,618
,660
,690
,625
,640
,684
,677
,606
,621
,655
,600
,613
,655
,595
,643
,689
,694
,600
,602
,602
,618
,643
,678
,658
,653
,655
,651
,611
,565
,557
,567
,627
,602
,578
,608
,696
,635
,645
,668
,718
,756
,734
,723
,696
,633
,608
,614
,589
,559
,576
,610
,598
,574
,623
,718
,635
,659
,782
,670
,644
,678
,695
,612
,644
,669
,615
,635
,650
,621
,589
,626
,628
,587
,622
,656
,600
,621
,646
,600
,646
,686
,606
,628
,614
,595
,625
,636
,586
,604
,632
,597
,595
,608
,633
,658
,633
,595
,629
,657
,605
,593
,628
,621
,584
,607
,633
,593
,594
,635
,676
,674
,603
,619
,657
,603
,593
,616
,691
,631
,613
,723
,787
,646
,658
,636
,599
,641
,653
,582
,571
,566
,576
,602
,648
,680
,681
,594
,598
,599
,610
,658
,679
,677
,649
,588
,580
,603
,667
,620
,661
,872
,847
,876
,727
,833
,888
,741
,824
,831
,691
,746
,820
,694
,836
,896
,716
,836
,724
,747
,805
,688
,757
,758
,690
,740
,769
,668
,717
,724
,679
,722
,810
,851
,823
,712
,701
,745
,866
,913
,843
,750
,743
,810
,810
,758
,676
,637
,625
,604
,620
,661
,757
,842
,837
,823
,801
,785
,682
,658
,632
,662
,812
,834
,838
,816
,783
,732
,711
,675
,594
,598
,604
,654
,756
,640
,635
,673
,846
,845
,838
,828
,722
,690
,666
,701
,862
,861
,830
,850
,654
,651
,649
,756
,886
,839
,723
,713
,824
,875
,890
,837
,715
,629
,619
,623
,687
,996
,772
,863
,905
,752
,720
,725
,647
,721
,812
,685
,725
,855
,772
,727
,900
,872
,739
,848
,842
,748
,929
,885
,816
,886
,797
,753
,887
,919
,753
,870
,963
,791
,959
,811
,755
,864
,850
,730
,880
,907
,751
,917
,837
,732
,849
,927
,874
,715
,732
,797
,820
,748
,869
,932
,799
,743
,834
,775
,731
,954
,986
,972
,885
,715
,750
,825
,826
,794
,823
,727
,743
,933
,913
,699
,743
,828
,872
,710
,696
,694
,737
,654
,660
,694
,832
,944
,927
,857
,672
,636
,639
,629
,659
,674
,657
,635
,579
,583
,569
,571
,600
,678
,719
,765
,767
,726
,706
,598
,593
,574
,606
,697
,906
,847
,869
,721
,663
,624
,692
,749
,873
,650
,663
,731
,846
,872
,831
,812
,761
,716
,1331
,591
,588
,591
,582
,612
,939
,677
,692
,888
,927
,911
,898
,872
,821
,668
,644
,626
,649
,761
,835
,855
,853
,659
,649
,643
,701
,850
,865
,826
,793
,749
,733
,651
,613
,599
,606
,754
,673
,637
,922
,831
,752
,950
,952
,824
,976
,925
,884
,913
,758
,816
,876
,726
,815
,870
,722
,860
,859
,712
,802
,841
,778
,666
,743
,796
,687
,696
,782
,823
,825
,811
,815
,778
,711
,696
,608
,614
,606
,653
,824
,837
,848
,811
,656
,661
,692
,792
,785
,758
,748
,696
,663
,648
,588
,570
,563
,563
,627
,749
,842
,878
,903
,887
,869
,671
,664
,680
,772
,833
,816
,692
,643
,652
,651
,706
,722
,747
,625
,634
,636
,679
,744
,768
,663
,602
,607
,616
,653
,756
,679
,647
,669
,731
,790
,766
,619
,619
,605
,659
,830
,840
,752
,806
,869
,706
,653
,628
,692
,820
,867
,673
,706
,834
,891
,888
,897
,872
,861
,809
,775
,736
,689
,620
,607
,604
,721
,849
,854
,724
,688
,715
,867
,943
,885
,872
,844
,692
,680
,655
,694
,745
,633
,627
,631
,747
,846
,897
,949
,950
,726
,696
,777
,698
,716
,795
,657
,699
,995
,922
,711
,842
,910
,859
,681
,740
,985
,930
,732
,881
,990
,828
,930
,928
,847
,716
,829
,958
,945
,734
,707
,852
,936
,817
,683
,771
,935
,886
,692
,848
,898
,696
,771
,894
,842
,707
,837
,861
,720
,782
,727
,724
,749
,896
,900
,770
,699
,689
,810
,874
,880
,893
,881
,775
,663
,672
,762
,1004
,816
,705
,930
,902
,731
,921
,916
,775
,937
,788
,798
,864
,718
,852
,878
,711
,826
,900
,737
,822
,829
,698
,767
,867
,732
,811
,855
,887
,760
,912
,928
,751
,927
,926
,745
,769
,875
,729
,773
,964
,746
,904
,918
,739
,846
,902
,763
,817
,886
,884
,742
,828
,921
,788
,879
,955
,889
,805
,934
,844
,815
,867
,721
,777
,794
,690
,751
,834
,720
,855
,881
,783
,859
,863
,814
,892
,766
,752
,830
,871
,818
,696
,773
,813
,707
,737
,721
,665
,646
,665
,628
,707
,966
,901
,745
,840
,854
,694
,761
,882
,874
,808
,983
,990
,869
,899
,818
,770
,872
,891
,753
,891
,895
,752
,920
,892
,781
,903
,906
,742
,847
,872
,845
,749
,812
,874
,721
,827
,815
,705
,782
,846
,717
,820
,927
,861
,705
,830
,911
,888
,786
,669
,708
,772
,720
,916
,929
,799
,899
,915
,776
,778
,816
,792
,677
,717
,794
,741
,851
,915
,821
,875
,874
,746
,814
,868
,709
,828
,709
,774
,934
,937
,893
,896
,752
,784
,813
,818
,813
,768
,644
,667
,676
,728
,760
,790
,800
,763
,727
,697
,681
,616
,587
,578
,584
,665
,996
,886
,969
,1008
,2021
,954
,971
,940
,732
,769
,825
,679
,1035
,732
,842
,1006
,766
,999
,1033
,999
,968
,997
,939
,760
,962
,957
,756
,920
,902
,723
,892
,919
,753
,856
,899
,802
,831
,929
,870
,849
,950
,780
,813
,877
,881
,752
,867
,871
,723
,814
,900
,913
,856
,697
,767
,785
,687
,714
,672
,669
,666
,653
,797
,957
,757
,738
,786
,809
,676
,730
,776
,706
,767
,860
,851
,715
,796
,873
,856
,725
,826
,709
,1007
,891
,734
,882
,897
,748
,834
,831
,821
,898
,898
,853
,920
,900
,862
,874
,849
,691
,710
,801
,843
,848
,677
,654
,727
,712
,970
,781
,746
,817
,886
,907
,846
,813
,654
,664
,663
,691
,731
,659
,752
,887
,902
,774
,872
,920
,899
,741
,815
,837
,704
,789
,950
,719
,980
,815
,813
,924
,849
,691
,798
,678
,718
,829
,909
,894
,848
,678
,675
,692
,758
,907
,883
,845
,831
,815
,791
,658
,665
,697
,849
,676
,697
,716
,640
,680
,873
,910
,805
,676
,761
,905
,892
,689
,766
,823
,701
,775
,918
,920
,800
,868
,908
,745
,898
,924
,802
,799
,920
,912
,880
,828
,728
,668
,678
,726
,858
,881
,727
,797
,3176
